Area,Updated_Today,Now_Confirmed,Suspect,Grade
地区待确认,False,0,0,Not_Available
咸阳,False,0,0,Not_Available
汉中,False,0,0,Not_Available
杨凌,False,0,0,Not_Available
西安,False,0,0,Not_Available
榆林,False,0,0,Not_Available
商洛,False,0,0,Not_Available
铜川,False,0,0,Not_Available
延安,False,0,0,Not_Available
宝鸡,False,0,0,Not_Available
安康,False,0,0,Not_Available
重庆,True,5,0,Not_Available
长寿区,False,2,0,全部低风险
两江新区,False,1,0,全部低风险
九龙坡区,False,1,0,全部低风险
巴南区,False,1,0,全部低风险
高新区,False,0,0,全部低风险
境外输入,False,0,0,Not_Available
沙坪坝区,False,0,0,Not_Available
江津区,False,0,0,Not_Available
大足区,False,0,0,Not_Available
荣昌区,False,0,0,Not_Available
綦江区,False,0,0,Not_Available
江北区,False,0,0,Not_Available
丰都县,False,0,0,Not_Available
潼南区,False,0,0,Not_Available
铜梁区,False,0,0,Not_Available
南岸区,False,0,0,Not_Available
万州区,False,0,0,Not_Available
渝中区,False,0,0,Not_Available
垫江县,False,0,0,Not_Available
云阳县,False,0,0,Not_Available
奉节县,False,0,0,Not_Available
石柱县,False,0,0,Not_Available
渝北区,False,0,0,Not_Available
涪陵区,False,0,0,Not_Available
彭水县,False,0,0,Not_Available
忠县,False,0,0,Not_Available
开州区,False,0,0,Not_Available
合川区,False,0,0,Not_Available
巫溪县,False,0,0,Not_Available
大渡口区,False,0,0,Not_Available
巫山县,False,0,0,Not_Available
万盛经开区,False,0,0,Not_Available
酉阳县,False,0,0,Not_Available
璧山区,False,0,0,Not_Available
永川区,False,0,0,Not_Available
武隆区,False,0,0,Not_Available
梁平区,False,0,0,Not_Available
城口县,False,0,0,Not_Available
黔江区,False,0,0,Not_Available
秀山县,False,0,0,Not_Available
山西,True,5,0,Not_Available
境外输入,False,5,0,Not_Available
晋中,False,0,0,全部低风险
太原,False,0,0,Not_Available
大同,False,0,0,Not_Available
运城,False,0,0,Not_Available
忻州,False,0,0,Not_Available
晋城,False,0,0,Not_Available
长治,False,0,0,Not_Available
朔州,False,0,0,Not_Available
临汾,False,0,0,Not_Available
阳泉,False,0,0,Not_Available
吕梁,False,0,0,Not_Available
吉林,True,4,0,Not_Available
境外输入,False,4,0,Not_Available
吉林,False,0,0,全部低风险
通化,False,0,0,全部低风险
长春,False,0,0,全部低风险
松原,False,0,0,全部低风险
四平,False,0,0,Not_Available
白城,False,0,0,Not_Available
公主岭,False,0,0,Not_Available
辽源,False,0,0,Not_Available
延边,False,0,0,Not_Available
梅河口市,False,0,0,Not_Available
青海,True,3,0,Not_Available
西宁,False,3,0,全部低风险
海东,False,0,0,全部低风险
海北州,False,0,0,Not_Available
湖北,True,2,0,Not_Available
境外输入,False,2,0,Not_Available
天门,False,0,0,全部低风险
荆门,False,0,0,全部低风险
荆州,False,0,0,全部低风险
武汉,False,0,0,全部低风险
黄冈,False,0,0,全部低风险
鄂州,False,0,0,Not_Available
宜昌,False,0,0,Not_Available
孝感,False,0,0,Not_Available
随州,False,0,0,Not_Available
十堰,False,0,0,Not_Available
仙桃,False,0,0,Not_Available
黄石,False,0,0,Not_Available
襄阳,False,0,0,Not_Available
潜江,False,0,0,Not_Available
恩施州,False,0,0,Not_Available
神农架,False,0,0,Not_Available
咸宁,False,0,0,Not_Available
湖南,False,2,0,Not_Available
境外输入,False,2,0,Not_Available
株洲,False,0,0,Not_Available
地区待确认,False,0,0,Not_Available
长沙,False,0,0,Not_Available
湘潭,False,0,0,Not_Available
湘西自治州,False,0,0,Not_Available
张家界,False,0,0,Not_Available
益阳,False,0,0,Not_Available
娄底,False,0,0,Not_Available
怀化,False,0,0,Not_Available
永州,False,0,0,Not_Available
郴州,False,0,0,Not_Available
常德,False,0,0,Not_Available
岳阳,False,0,0,Not_Available
邵阳,False,0,0,Not_Available
衡阳,False,0,0,Not_Available
安徽,True,0,0,Not_Available
境外输入,False,0,0,Not_Available
六安,False,0,0,部分中风险
合肥,False,0,0,部分中风险
